=== T31 ===
[canon] T  [volumes] 1: ['T31']...

[volume] T31
  [files] 43
  [ok] cbeta-T34n1725: 1 juans, 26907 bytes
  [ok] cbeta-T34n1726: 2 juans, 79404 bytes
  [ok] cbeta-T34n1727: 4 juans, 159609 bytes
  [ok] cbeta-T34n1728: 2 juans, 78124 bytes
  [ok] cbeta-T34n1729: 4 juans, 134531 bytes
  [ok] cbeta-T34n1730: 3 juans, 239070 bytes

[summary] {"ok": 13}
=== T35 ===
[canon] T  [volumes] 1: ['T35']...

[volume] T35
  [files] 5
  [ok] cbeta-T35n1731: 1 juans, 63087 bytes
  [ok] cbeta-T35n1732: 10 juans, 466855 bytes
  [ok] cbeta-T35n1733: 20 juans, 1914768 bytes
  [ok] cbeta-T35n1734: 1 juans, 47432 bytes
  [ok] cbeta-T35n1735: 60 juans, 2280466 bytes

[summary] {"ok": 5}
=== T36 ===
[canon] T  [volumes] 1: ['T36']...

[volume] T36
  [files] 8
  [ok] cbeta-T36n1736: 90 juans, 3539675 bytes
  [ok] cbeta-T36n1737: 1 juans, 41924 bytes
  [ok] cbeta-T36n1738: 1 juans, 50942 bytes
  [ok] cbeta-T36n1739: 40 juans, 1415164 bytes
  [ok] cbeta-T36n1740: 1 juans, 8772 bytes
  [ok] cbeta-T36n1741: 8 juans, 189285 bytes
  [ok] cbeta-T36n1742: 2 juans, 72971 bytes
  [ok] cbeta-T36n1743: 1 juans, 9298 bytes

[summary] {"ok": 8}
=== T37 ===
[canon] T  [volumes] 1: ['T37']...

[volume] T37
  [files] 21
  [ok] cbeta-T37n1744: 6 juans, 472912 bytes
  [ok] cbeta-T37n1745: 2 juans, 141898 bytes
  [ok] cbeta-T37n1746: 1 juans, 49866 bytes
  [ok] cbeta-T37n1747: 1 juans, 31482 bytes
  [ok] cbeta-T37n1748: 3 juans, 201843 bytes
  [ok] cbeta-T37n1749: 2 juans, 74080 bytes
  [ok] cbeta-T37n1750: 1 juans, 45309 bytes
  [ok] cbeta-T37n1751: 6 juans, 205018 bytes
  [ok] cbeta-T37n1752: 1 juans, 63605 bytes
  [ok] cbeta-T37n1753: 4 juans, 163097 bytes
  [ok] cbeta-T37n1754: 3 juans, 138728 bytes
  [ok] cbeta-T37n1755: 1 juans, 7301 bytes
  [ok] cbeta-T37n1756: 1 juans, 15424 bytes
  [ok] cbeta-T37n1757: 1 juans, 95194 bytes
  [ok] cbeta-T37n1758: 3 juans, 97590 bytes
  [ok] cbeta-T37n1759: 1 juans, 13272 bytes
  [ok] cbeta-T37n1760: 1 juans, 29958 bytes
  [ok] cbeta-T37n1761: 1 juans, 39791 bytes
  [ok] cbeta-T37n1762: 1 juans, 56087 bytes
  [ok] cbeta-T37n1763: 71 juans, 1090111 bytes
  [ok] cbeta-T37n1764: 12 juans, 1573619 bytes

[summary] {"ok": 21}
=== T38 ===
[canon] T  [volumes] 1: ['T38']...

[volume] T38
  [files] 18
  [ok] cbeta-T38n1765: 2 juans, 73366 bytes
  [ok] cbeta-T38n1766: 4 juans, 144728 bytes
  [ok] cbeta-T38n1767: 33 juans, 984779 bytes
  [ok] cbeta-T38n1768: 1 juans, 47382 bytes
  [ok] cbeta-T38n1769: 1 juans, 87192 bytes
